Array(1): 0.001s      Recursive(1): 0s
Array(2): 0s      Recursive(2): 0s
Array(3): 0s      Recursive(3): 0s
Array(4): 0s      Recursive(4): 0s
Array(5): 0s      Recursive(5): 0s
Array(6): 0.001s      Recursive(6): 0s
Array(7): 0s      Recursive(7): 0s
Array(8): 0s      Recursive(8): 0s
Array(9): 0s      Recursive(9): 0s
Array(10): 0s      Recursive(10): 0s
Array(11): 0s      Recursive(11): 0s
Array(12): 0s      Recursive(12): 0s
Array(13): 0s      Recursive(13): 0s
Array(14): 0s      Recursive(14): 0s
Array(15): 0.001s      Recursive(15): 0s
Array(16): 0s      Recursive(16): 0s
Array(17): 0s      Recursive(17): 0.001s
Array(18): 0s      Recursive(18): 0s
Array(19): 0s      Recursive(19): 0.001s
Array(20): 0s      Recursive(20): 0.001s
Array(21): 0s      Recursive(21): 0.001s
Array(22): 0s      Recursive(22): 0.002s
Array(23): 0s      Recursive(23): 0.003s
Array(24): 0s      Recursive(24): 0.006s
Array(25): 0s      Recursive(25): 0.011s
Array(26): 0s      Recursive(26): 0.016s
Array(27): 0s      Recursive(27): 0.025s
Array(28): 0s      Recursive(28): 0.039s
Array(29): 0s      Recursive(29): 0.065s
Array(30): 0s      Recursive(30): 0.103s
Array(31): 0s      Recursive(31): 0.16s
Array(32): 0s      Recursive(32): 0.26s
Array(33): 0s      Recursive(33): 0.421s
Array(34): 0s      Recursive(34): 0.698s
Array(35): 0.001s      Recursive(35): 1.085s
Array(36): 0s      Recursive(36): 1.798s
Array(37): 0s      Recursive(37): 2.839s
Array(38): 0s      Recursive(38): 4.576s
Array(39): 0s      Recursive(39): 7.419s
Array(40): 0s      Recursive(40): 12.006s
